,Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumWebPurchases,NumWebVisitsMonth,Month_Customer,Age,Children,Is_Parent,Family_Size,Total_Compaign_Accepted,Offline Purchases,KMean_cluster
31,3,38620.0,56,112,17,44,34,22,89,2,3,20,52,0,0,2,0,9,1
32,2,40548.0,31,110,0,5,2,0,3,2,5,27,45,1,1,3,1,7,1
33,4,46610.0,8,96,12,96,33,22,43,4,6,27,63,2,1,3,0,13,3
34,3,68657.0,4,482,34,471,119,68,22,3,7,23,69,0,0,2,0,15,0
35,3,49389.0,55,40,0,19,2,1,3,2,7,17,64,2,1,3,0,4,3
36,4,67353.0,37,702,17,151,0,8,35,5,2,13,45,1,1,3,0,23,2
37,0,23718.0,76,6,3,14,15,7,36,3,7,16,39,1,1,3,0,6,1
38,2,42429.0,99,55,0,6,2,0,4,1,5,11,42,1,1,2,0,6,1
39,4,48948.0,53,437,8,206,160,49,42,7,6,23,72,0,0,1,1,17,0
40,2,80011.0,3,421,76,536,82,178,102,8,4,21,35,1,1,3,0,13,2
41,3,20559.0,88,13,1,29,3,0,7,2,8,22,30,1,1,3,0,5,1
42,2,21994.0,4,9,0,6,3,1,3,0,5,25,58,1,1,3,0,4,1
44,3,7500.0,19,3,1,10,3,2,12,2,5,15,40,1,1,3,0,6,1
45,2,79941.0,72,123,164,266,227,30,174,2,1,7,39,0,0,1,0,14,0
46,0,7500.0,24,3,18,14,15,22,50,3,9,26,19,0,0,2,0,7,1
47,2,41728.0,92,13,6,15,3,5,13,2,10,20,47,1,1,3,0,3,1
49,4,72550.0,39,826,50,317,50,38,38,5,8,26,61,2,1,4,0,23,2
50,2,65486.0,29,245,19,125,37,67,14,4,2,8,58,1,1,2,0,13,2
51,3,79143.0,2,650,37,780,27,167,32,6,3,29,51,0,0,2,0,23,0
52,2,35790.0,54,12,6,20,30,1,3,2,7,24,38,1,1,2,0,5,1
53,2,82582.0,54,510,120,550,156,40,241,4,1,7,38,0,0,1,2,17,0
54,2,66373.0,57,328,9,124,12,24,109,4,3,19,37,2,1,4,0,19,2
55,3,82384.0,55,984,51,432,180,120,190,3,1,26,60,0,0,2,1,24,0
56,2,70287.0,30,295,35,482,121,120,40,5,3,21,49,0,0,1,0,16,0
57,2,27938.0,31,13,0,8,2,1,5,1,3,9,27,1,1,2,0,5,1
59,4,55954.0,63,447,0,28,0,0,43,8,7,10,47,1,1,3,0,11,3
60,3,75777.0,12,712,26,538,69,13,80,3,1,18,33,0,0,1,2,18,0
61,2,66653.0,18,452,18,102,16,18,6,4,3,28,40,2,1,4,0,18,2
62,2,61823.0,26,523,7,134,37,14,169,8,7,23,63,1,1,2,0,16,2
63,4,67680.0,8,546,0,48,0,6,6,7,5,19,64,1,1,2,0,12,2
64,2,70666.0,29,398,40,367,119,122,30,7,4,13,67,0,0,2,0,9,0
65,2,25721.0,75,1,3,6,3,6,15,1,7,20,44,1,1,3,0,4,1
66,2,32474.0,0,10,0,1,0,0,0,1,7,8,48,2,1,4,0,3,3
67,0,88194.0,19,688,14,309,201,24,38,11,5,10,36,1,1,2,2,21,0
68,2,69096.0,4,247,49,159,7,82,109,5,4,16,57,1,1,3,0,13,2
69,2,74854.0,90,856,59,487,58,29,73,2,5,21,45,3,1,5,0,17,2
70,3,66991.0,1,496,36,460,189,60,12,4,3,28,61,0,0,2,0,17,0
72,2,65031.0,29,258,107,291,84,37,86,10,7,22,56,1,1,3,0,20,2
73,4,60631.0,88,565,6,65,0,6,19,9,7,21,40,2,1,4,1,15,2
74,2,28332.0,58,14,10,13,4,15,9,2,2,9,63,0,0,2,0,6,1
75,2,40246.0,68,2,1,6,2,1,1,1,6,25,38,1,1,2,0,3,1
76,3,75251.0,34,721,111,925,97,18,18,7,5,29,43,0,0,2,0,12,0
77,2,75825.0,40,1032,105,779,137,105,51,5,4,27,39,0,0,1,1,17,0
78,0,26326.0,12,1,0,5,0,3,9,0,3,16,39,0,0,2,0,4,1
79,2,56046.0,9,577,0,64,0,0,51,10,8,24,50,0,0,2,1,11,2
80,2,29760.0,87,64,4,68,7,5,17,3,8,29,30,1,1,2,0,9,1
81,2,26304.0,5,4,1,5,2,0,4,1,7,19,46,1,1,3,0,3,1
82,0,23559.0,87,25,5,19,7,0,23,3,7,18,42,1,1,3,0,6,1
83,3,38620.0,56,112,17,44,34,22,89,2,3,20,52,0,0,2,0,9,1
84,2,81361.0,18,163,23,424,27,65,76,3,1,11,28,0,0,1,0,24,0
85,2,29440.0,95,17,8,14,10,4,3,1,7,17,55,2,1,4,0,6,3
86,3,36138.0,48,130,0,16,0,0,5,3,7,18,45,2,1,4,1,10,3
87,2,50388.0,3,292,6,37,0,3,34,6,7,8,58,1,1,2,2,11,3
88,2,79593.0,70,350,60,568,110,133,145,5,2,8,42,0,0,2,1,14,0
89,2,54178.0,79,135,9,39,4,0,7,2,2,12,48,1,1,3,0,8,3
93,3,42394.0,69,15,2,10,0,1,4,1,7,10,43,1,1,2,0,4,1
94,4,23626.0,84,27,2,14,0,0,0,3,5,8,45,1,1,3,0,7,3
95,2,30096.0,30,5,3,11,12,5,9,2,6,8,32,1,1,3,0,4,1
96,2,47916.0,72,505,0,26,0,0,75,7,6,26,55,1,1,2,1,15,2
97,2,51813.0,37,51,2,7,0,1,2,2,7,21,43,2,1,3,0,5,3
98,0,78497.0,44,207,26,447,75,0,223,5,2,13,64,0,0,2,1,20,0
99,4,50150.0,32,135,46,92,65,61,11,5,5,19,32,0,0,2,0,11,0
100,0,47823.0,0,53,1,5,2,1,10,2,8,18,55,1,1,2,0,5,1
101,4,34554.0,43,41,1,6,2,0,5,2,6,10,56,1,1,2,0,5,3
102,2,85693.0,59,386,172,183,185,132,111,9,5,21,36,1,1,3,0,18,2
103,4,65846.0,68,562,81,276,80,40,81,6,4,20,70,0,0,2,0,10,0
104,2,87195.0,35,217,76,690,50,26,38,3,1,8,56,0,0,2,0,17,0
105,1,24594.0,94,1,3,6,10,0,9,1,5,13,36,1,1,3,0,4,1
106,2,49096.0,15,144,1,32,2,1,7,4,7,16,51,2,1,4,0,9,3
107,2,52413.0,56,295,106,271,75,98,65,6,6,23,46,2,1,4,0,20,2
108,2,38557.0,17,76,3,31,4,4,27,3,7,25,37,1,1,2,0,6,1
109,3,89058.0,18,454,194,106,31,22,43,5,2,25,55,0,0,2,0,9,0
110,2,77298.0,46,425,115,292,23,35,79,6,3,14,36,1,1,3,0,18,2
111,4,68126.0,40,1332,17,311,23,51,86,7,9,26,24,0,0,1,1,10,0
112,3,57288.0,27,527,0,21,0,0,60,8,6,7,52,1,1,3,1,12,3
113,2,86037.0,95,490,44,125,29,20,22,6,3,24,24,0,0,1,2,19,0
114,4,43974.0,19,378,0,101,0,0,72,6,7,25,35,1,1,3,0,15,2
115,2,50785.0,27,64,1,21,0,1,27,2,6,16,53,2,1,3,0,6,3
116,2,90765.0,25,547,99,812,151,82,33,4,1,12,45,0,0,2,2,11,0
117,0,36550.0,74,47,90,94,123,103,120,9,9,23,37,1,1,3,0,11,2
118,0,30753.0,85,12,5,25,0,9,30,1,5,18,48,2,1,4,0,6,1
119,2,21918.0,37,1,6,7,11,5,3,2,6,14,46,1,1,3,0,5,1
120,3,56129.0,65,320,48,133,39,72,48,6,4,19,62,1,1,3,0,16,2
121,3,32557.0,13,34,3,29,0,4,10,2,5,11,48,1,1,2,0,7,3
122,3,19510.0,63,9,0,7,3,4,7,1,7,16,30,2,1,4,0,5,3
123,2,30992.0,83,17,0,14,7,3,2,1,7,21,39,1,1,2,0,4,1
124,2,101970.0,69,722,27,102,44,72,168,6,2,22,32,0,0,1,3,21,0
125,0,71488.0,87,162,33,124,40,28,172,3,1,23,50,0,0,2,0,13,0
126,2,79607.0,37,450,133,951,173,0,216,3,1,21,31,0,0,1,0,13,0
127,3,54348.0,51,70,0,16,0,0,4,2,6,7,62,2,1,4,0,6,3
129,4,77376.0,72,492,19,110,16,12,12,6,4,8,59,2,1,4,0,17,3
130,2,62998.0,10,120,58,73,65,89,58,5,5,16,63,1,1,3,0,14,2
131,3,61331.0,42,534,5,47,0,5,41,11,8,22,57,2,1,3,0,12,2
132,2,73448.0,10,236,106,189,23,41,130,7,4,11,46,0,0,2,0,12,0
134,4,41551.0,51,220,0,33,3,0,23,5,8,17,51,2,1,4,0,11,3
135,4,62981.0,21,796,14,590,38,44,0,4,3,22,48,0,0,2,1,19,0
136,1,9548.0,31,0,1,3,10,6,9,1,8,29,39,1,1,2,0,5,1
137,4,33762.0,61,53,1,34,2,0,16,2,8,18,56,3,1,5,0,7,3
138,4,35860.0,37,15,0,8,4,2,20,1,5,8,42,2,1,3,1,5,3
139,4,36921.0,74,17,1,12,3,1,4,2,7,18,50,2,1,3,0,5,3
140,3,92859.0,46,962,61,921,52,61,20,5,2,27,23,0,0,1,0,17,0
141,3,65104.0,4,738,0,232,13,20,50,3,7,14,39,1,1,3,0,14,2
142,2,86111.0,73,399,28,756,36,40,126,5,2,21,53,0,0,2,0,18,0
143,4,68352.0,47,614,16,132,43,33,33,8,6,17,41,1,1,2,0,17,2
144,2,41883.0,13,32,34,41,73,16,116,4,7,22,27,1,1,3,0,8,1
145,2,59809.0,36,598,16,141,32,41,49,3,8,27,39,2,1,4,0,12,2
146,2,23957.0,47,2,1,18,20,11,16,2,6,27,40,1,1,3,0,4,1
147,2,38547.0,49,6,1,10,0,1,4,1,8,17,34,1,1,3,0,3,1
148,0,35688.0,94,73,3,90,12,1,32,4,8,29,42,3,1,5,0,12,3
149,3,49605.0,65,42,16,29,12,20,8,2,3,7,49,0,0,2,0,6,1
150,3,59354.0,59,295,21,78,39,13,13,4,3,9,62,2,1,4,0,12,3
151,2,65747.0,96,346,17,48,23,13,13,8,6,10,46,1,1,3,1,11,2
152,0,46344.0,28,233,20,57,8,20,91,7,7,25,43,1,1,3,0,10,2
153,2,34176.0,12,5,7,24,19,14,20,3,6,8,27,1,1,2,0,8,1
154,4,61010.0,57,888,0,57,0,0,76,8,5,27,63,1,1,3,0,18,2
155,2,69372.0,10,997,26,269,34,13,42,10,4,23,66,0,0,2,2,11,0
156,2,49967.0,4,212,6,69,4,12,3,6,7,18,57,1,1,2,0,9,3
157,2,60199.0,49,8,1,7,2,0,0,0,4,16,37,3,1,4,0,4,3
158,2,55375.0,3,42,11,57,10,28,14,1,2,15,38,1,1,3,0,8,1
159,2,80317.0,64,536,11,387,149,91,57,3,1,17,60,0,0,1,0,15,0
160,3,30523.0,0,5,0,3,0,0,5,1,7,18,57,3,1,4,0,3,3
161,4,70356.0,20,1349,16,249,43,16,33,10,6,26,70,0,0,2,0,17,2
162,2,23228.0,91,53,3,49,7,4,5,3,8,12,31,1,1,3,0,8,1
163,4,74165.0,9,1001,12,240,16,12,12,5,2,20,40,0,0,1,0,15,0
164,4,157243.0,98,20,2,1582,1,2,1,0,0,10,42,1,1,3,0,37,0
165,2,43482.0,83,18,1,32,6,3,28,2,6,14,49,3,1,5,0,7,3
166,2,62551.0,27,125,16,98,134,21,27,6,3,14,62,0,0,1,1,12,0
167,2,52332.0,63,212,5,33,7,0,2,3,4,17,56,0,0,1,1,9,1
168,2,66951.0,46,277,162,305,173,76,124,3,1,14,27,0,0,1,0,12,0
169,2,26091.0,84,15,10,19,8,17,20,2,5,11,58,2,1,4,0,7,3
170,2,33456.0,58,7,3,10,8,1,7,1,7,9,50,2,1,4,0,5,3
171,2,28718.0,78,12,4,6,11,8,16,2,8,18,33,1,1,3,0,5,1
172,2,50447.0,4,85,7,24,2,3,27,3,6,9,45,2,1,4,0,5,3
173,4,53537.0,17,81,0,6,0,0,6,2,5,12,56,2,1,4,0,6,3
174,2,52074.0,77,59,0,12,0,0,48,2,4,9,48,1,1,2,1,5,3
175,4,80427.0,56,1149,71,449,69,71,26,11,5,28,40,1,1,3,0,17,2
176,4,83837.0,79,847,66,119,86,89,111,9,4,25,67,0,0,2,2,16,0
177,4,38853.0,90,29,0,14,0,0,2,2,7,8,45,2,1,4,0,5,3
178,2,38285.0,96,2,0,5,2,0,1,0,2,7,56,3,1,5,0,4,3
179,0,78497.0,44,207,26,447,75,0,223,5,2,13,64,0,0,2,1,20,0
180,4,51650.0,81,152,3,22,2,5,7,4,5,8,39,1,1,3,0,6,3
181,0,16248.0,77,12,11,10,3,12,9,2,6,8,27,1,1,3,0,7,1
182,3,66835.0,21,620,26,195,34,17,141,6,2,16,69,0,0,2,0,18,0
183,3,30477.0,16,47,1,6,0,0,12,1,6,12,31,1,1,3,0,5,1
184,1,28249.0,80,1,9,7,2,14,10,2,6,7,54,0,0,2,0,4,1
185,2,25271.0,45,10,1,18,10,4,7,1,9,25,32,1,1,3,0,4,1
186,4,32303.0,63,35,0,2,0,0,2,1,5,10,45,1,1,2,0,6,3
187,2,61286.0,34,356,0,107,19,9,117,7,5,17,49,1,1,3,0,11,2
188,2,74068.0,14,783,30,537,140,76,15,4,2,22,39,0,0,2,0,20,0
189,4,45759.0,13,42,1,18,3,0,4,2,7,23,51,2,1,4,0,5,3
190,1,24882.0,52,1,4,10,29,0,36,1,6,28,37,1,1,3,1,4,1
191,4,66973.0,98,466,22,432,147,113,102,8,3,20,26,0,0,2,0,20,0
193,2,38872.0,93,23,3,21,3,19,22,3,8,20,27,1,1,3,0,5,1
194,2,51148.0,38,235,6,45,8,9,12,5,6,23,42,2,1,4,0,11,3
195,2,31353.0,24,10,0,10,3,1,7,1,8,13,38,2,1,4,0,5,3
196,3,69661.0,80,656,16,106,32,16,8,7,3,8,35,0,0,2,0,16,0
197,2,80067.0,82,519,17,813,27,173,51,4,2,16,61,0,0,2,1,13,0
198,2,86718.0,20,344,189,482,50,33,172,5,2,24,61,0,0,2,0,12,0
199,4,46854.0,81,96,1,79,7,1,79,5,8,10,42,2,1,3,1,10,3
200,2,69142.0,50,448,4,34,6,4,39,8,5,7,63,1,1,2,1,11,2
201,2,75922.0,60,265,138,553,224,23,92,4,1,13,47,0,0,1,0,14,0
202,2,63693.0,63,587,43,337,42,87,54,11,6,15,37,1,1,2,0,18,2
203,4,102160.0,54,763,29,138,76,176,58,7,4,26,38,0,0,2,3,19,0
204,4,40637.0,72,22,0,13,0,0,3,1,7,18,50,2,1,3,0,5,3
205,3,18890.0,5,6,4,1,7,2,15,0,6,26,31,0,0,1,1,4,1
206,2,29604.0,88,7,6,13,7,6,14,1,9,13,27,1,1,3,1,4,1
207,3,48721.0,50,81,18,113,47,13,21,4,6,20,52,2,1,3,0,13,3
208,2,44794.0,99,54,0,7,0,0,4,2,6,7,49,1,1,3,0,4,3
209,2,64497.0,17,1170,48,320,42,32,192,11,8,28,61,1,1,2,1,18,2
210,2,46097.0,11,72,24,68,65,4,8,3,4,22,59,1,1,3,0,12,3
211,2,77972.0,18,613,22,319,33,102,12,4,1,10,61,0,0,2,0,16,0
212,4,44377.0,70,224,0,30,0,0,10,5,8,27,47,2,1,4,0,14,3
213,3,46014.0,21,410,0,59,19,9,44,7,7,24,41,2,1,4,0,19,2
214,2,70951.0,66,239,10,554,254,87,54,3,1,20,30,0,0,2,0,14,0
215,2,41443.0,79,171,7,171,25,19,89,8,8,9,38,1,1,3,0,12,2
216,0,52195.0,2,12,0,4,0,0,1,1,8,8,37,3,1,4,0,3,3
217,3,83790.0,81,1076,16,417,42,48,16,8,3,14,67,0,0,2,2,17,0
218,3,44551.0,24,182,4,33,0,0,66,4,7,17,61,1,1,2,0,8,3
219,2,69508.0,48,824,32,162,42,32,43,11,6,26,35,1,1,3,0,17,2
220,0,45204.0,93,30,11,25,29,1,18,1,3,9,27,1,1,3,0,6,1
221,2,72460.0,56,377,10,540,80,30,10,3,1,14,46,0,0,2,0,13,0
222,4,77622.0,3,520,7,154,19,0,14,6,3,9,45,2,1,4,0,16,3
223,4,30732.0,44,155,1,25,0,1,3,4,8,24,35,1,1,3,0,9,3
224,2,63887.0,38,897,23,207,15,11,92,9,6,28,53,1,1,2,0,23,2
225,2,42011.0,46,131,0,16,2,1,39,3,8,22,37,1,1,3,0,9,1
226,2,51369.0,84,297,7,79,0,11,182,8,8,27,39,1,1,3,0,8,2
227,2,51537.0,27,787,20,204,0,0,92,2,8,25,63,1,1,2,0,16,2
228,4,79930.0,72,792,86,740,67,51,17,3,2,29,43,0,0,2,0,14,0
229,4,34320.0,66,4,1,9,3,0,0,1,8,11,29,1,1,3,0,3,3
230,2,37070.0,30,231,7,137,4,15,39,5,7,22,49,2,1,3,0,18,3
231,0,81975.0,2,983,76,184,180,138,27,6,7,24,53,1,1,2,1,8,2
232,2,38590.0,65,3,1,8,4,3,3,1,8,20,44,1,1,3,0,3,1
233,2,15033.0,37,0,4,5,6,0,4,1,3,9,64,0,0,1,0,4,1
234,4,62745.0,89,562,21,464,28,10,32,7,5,22,50,1,1,3,0,22,2
235,0,22212.0,49,5,9,20,6,8,21,2,6,13,40,1,1,3,0,6,1
236,3,23661.0,46,18,0,4,0,0,1,1,7,13,33,1,1,3,0,4,1
237,4,79761.0,32,415,5,124,15,35,11,5,3,15,57,1,1,2,0,14,2
238,2,7500.0,54,5,3,10,12,7,20,3,7,13,42,1,1,2,0,8,1
240,2,73455.0,98,901,61,757,186,163,20,6,3,15,47,0,0,1,1,16,0
241,2,64961.0,97,382,114,276,75,124,38,6,3,25,57,1,1,3,0,10,2
242,2,22804.0,75,14,1,7,2,1,1,2,9,18,44,1,1,2,0,3,1
243,2,73687.0,8,559,153,503,218,13,181,3,2,14,25,0,0,2,1,19,0
244,2,61074.0,37,789,0,133,0,28,152,11,7,29,57,1,1,3,0,20,2
245,4,31686.0,31,11,0,5,0,0,1,1,6,7,51,2,1,4,0,5,3
246,2,80134.0,40,1218,16,272,104,0,80,5,6,20,43,1,1,3,3,11,2
247,2,75027.0,74,925,64,179,133,12,77,9,5,24,62,1,1,3,0,12,2
248,4,67546.0,90,864,134,768,150,38,172,4,3,29,27,0,0,2,0,16,0
249,3,65176.0,57,960,28,183,220,70,70,9,6,27,46,1,1,3,0,16,2
250,3,31160.0,59,16,3,25,6,1,13,2,8,16,40,1,1,2,0,5,1
251,2,29938.0,52,3,3,7,0,2,11,1,6,15,30,1,1,2,0,5,1
252,2,102692.0,5,168,148,444,32,172,148,6,2,21,41,0,0,1,4,23,0
253,0,26490.0,92,45,47,52,21,20,25,3,6,28,57,0,0,2,0,8,1
254,2,75702.0,77,650,28,353,45,42,30,4,8,29,48,2,1,4,0,22,2
255,4,30899.0,35,24,0,8,0,0,1,1,6,27,41,1,1,2,0,5,1
256,4,63342.0,48,918,21,118,13,10,21,8,6,27,54,1,1,3,1,11,2
257,2,45989.0,97,138,33,87,28,24,12,3,3,27,51,1,1,2,0,13,1
258,2,18701.0,95,12,4,2,10,6,10,2,5,19,51,2,1,3,0,8,3
259,4,40737.0,24,11,0,4,0,0,2,1,8,13,58,3,1,4,0,3,3
260,2,15287.0,60,1,2,8,4,3,13,1,7,27,36,1,1,2,1,5,1
261,4,69674.0,46,554,41,215,11,0,24,10,5,20,47,2,1,3,0,15,2
262,3,44159.0,85,167,2,62,24,13,7,4,5,7,45,1,1,3,0,11,3
263,4,37717.0,31,9,0,6,4,1,5,1,9,26,37,1,1,3,0,3,1
264,3,43776.0,9,177,2,71,3,2,20,5,8,23,63,2,1,4,0,12,3
265,3,38179.0,30,38,4,22,4,2,20,3,7,22,49,2,1,4,0,8,3
266,2,80124.0,47,483,84,398,205,84,241,3,1,7,52,0,0,2,1,16,0
267,4,38097.0,70,77,2,35,0,1,69,3,7,27,45,2,1,4,1,8,3
268,2,72940.0,13,182,74,298,162,149,116,3,1,19,45,0,0,2,0,10,0
269,2,22070.0,11,10,7,19,8,2,21,2,6,15,45,1,1,3,0,6,1
270,2,69267.0,31,778,44,499,95,73,146,3,7,28,62,0,0,1,0,11,0
271,3,31788.0,15,16,7,23,0,8,6,3,5,10,32,1,1,2,0,7,1
272,4,61905.0,2,167,0,43,6,2,13,4,5,11,40,1,1,3,0,8,3
273,2,29315.0,55,13,2,14,8,7,4,2,6,9,55,2,1,4,0,8,3
274,2,33378.0,38,33,6,40,3,7,10,2,7,23,52,2,1,3,0,7,3
275,4,66313.0,86,625,7,99,10,22,7,6,4,16,52,1,1,3,0,17,2
276,2,60714.0,56,216,162,224,101,92,162,7,5,24,59,0,0,1,0,16,0
277,3,77882.0,29,68,129,396,188,22,15,3,1,9,34,0,0,2,0,9,0
278,4,69867.0,30,196,0,512,33,130,54,3,1,21,29,0,0,1,1,14,0
279,3,63841.0,64,635,15,100,20,7,131,9,6,21,47,1,1,2,0,13,2
280,1,24480.0,46,4,19,9,28,25,17,3,7,23,34,1,1,3,0,7,1
281,2,51369.0,84,297,7,79,0,11,182,8,8,27,39,1,1,3,0,8,2
282,2,37760.0,20,84,5,38,150,12,28,4,7,29,69,0,0,2,0,9,1
283,4,65640.0,74,204,7,149,20,15,66,5,2,10,41,1,1,3,0,10,3
284,3,44319.0,18,26,0,8,0,0,3,2,5,9,40,2,1,4,0,5,3
285,2,30631.0,75,15,6,20,4,5,20,3,7,18,41,1,1,3,0,4,1
286,2,75278.0,17,304,98,230,150,74,74,6,3,24,63,0,0,2,0,17,0
287,3,50898.0,88,285,28,242,55,114,135,6,5,24,59,2,1,4,0,27,2
288,2,79946.0,19,395,183,565,166,141,28,5,3,8,49,0,0,1,0,17,0
289,3,35416.0,62,248,3,81,4,3,51,7,8,19,66,0,0,1,0,9,1
290,0,32414.0,11,20,6,5,0,9,12,1,7,18,31,0,0,2,1,4,1
291,2,38361.0,74,39,0,56,20,8,14,3,7,13,46,1,1,3,0,7,3
292,2,82497.0,32,777,129,573,216,21,203,2,4,27,35,0,0,2,1,17,0
293,2,16626.0,76,8,3,22,21,1,13,3,9,12,44,2,1,4,0,6,3
294,2,29672.0,6,9,1,3,0,4,8,0,6,22,50,2,1,4,0,4,3
295,3,55951.0,62,1241,0,80,0,13,40,3,8,29,63,1,1,3,2,20,2
296,0,35388.0,20,6,4,7,4,3,8,1,7,22,27,1,1,2,0,4,1
297,3,42386.0,43,65,4,16,0,4,11,3,8,24,29,1,1,3,0,4,1
298,2,68627.0,45,395,15,263,60,54,38,2,1,24,33,0,0,1,0,10,0
299,4,57912.0,34,801,0,80,0,0,35,8,5,10,50,1,1,2,1,20,2
300,2,35246.0,53,36,0,12,2,2,10,3,5,9,57,2,1,3,0,8,3
301,0,58821.0,44,513,14,154,19,0,28,9,6,15,59,1,1,3,0,12,2
302,4,46377.0,89,37,0,46,4,3,0,2,4,10,37,1,1,3,0,5,3
303,2,39747.0,43,80,15,93,20,13,52,5,8,9,27,1,1,2,0,8,1
304,2,23976.0,68,14,1,21,2,3,25,3,7,13,31,1,1,3,0,7,1
305,3,80950.0,44,525,147,112,219,147,63,6,2,22,54,0,0,2,1,17,0
306,2,27038.0,64,1,26,25,17,23,15,3,9,28,49,0,0,1,0,4,1
307,2,77457.0,85,675,11,400,15,45,11,2,1,10,68,0,0,1,1,16,0
308,3,64100.0,93,509,0,27,0,0,10,8,7,16,51,1,1,3,1,10,3
309,3,42670.0,12,154,2,46,20,4,15,4,4,21,23,0,0,2,0,7,1
310,2,12571.0,86,3,5,14,2,12,17,3,6,12,39,1,1,2,0,8,1
311,2,22574.0,28,25,0,8,2,0,2,2,7,15,48,3,1,5,0,5,3
313,3,70893.0,42,768,44,561,77,44,14,6,3,23,39,0,0,1,0,17,0
314,2,54198.0,13,185,0,28,3,2,17,3,4,13,49,2,1,4,0,13,3
315,3,28839.0,86,24,0,7,0,0,1,2,5,10,59,2,1,4,0,5,3
316,2,40321.0,59,44,4,21,6,0,27,3,7,18,43,2,1,4,0,5,3
317,2,66503.0,30,91,64,128,65,3,50,4,3,29,30,1,1,2,0,11,2
318,2,30833.0,33,11,0,7,3,1,6,1,5,18,64,2,1,4,0,5,3
320,2,64795.0,23,412,5,119,38,29,77,3,2,24,44,1,1,3,0,18,2
321,2,34421.0,81,3,3,7,6,2,9,1,7,18,41,1,1,3,0,3,1
322,4,47025.0,6,16,0,3,0,0,1,1,7,11,50,2,1,3,0,3,3
323,4,64325.0,41,731,60,353,78,12,73,10,7,23,54,1,1,2,0,13,2
324,2,40464.0,78,424,17,118,7,23,41,8,8,24,62,1,1,2,0,16,2
325,2,62187.0,49,792,0,275,45,45,126,4,3,18,58,0,0,2,0,14,0
326,4,14849.0,39,21,2,28,3,2,9,2,8,18,39,1,1,2,0,7,1
327,2,27255.0,3,22,1,11,0,1,2,1,7,14,31,1,1,3,0,4,1
328,4,54432.0,37,33,0,5,0,0,0,1,4,20,65,3,1,5,0,4,3
329,4,29999.0,22,68,7,59,10,5,11,3,8,23,29,1,1,2,0,9,1
330,2,24072.0,79,9,1,6,3,0,4,1,8,21,32,1,1,2,0,3,1
331,4,33996.0,46,40,2,15,8,0,6,1,4,16,26,0,0,1,0,5,1
332,4,66334.0,82,909,11,218,0,0,23,9,5,21,59,1,1,3,0,10,2
333,3,35178.0,10,23,1,13,2,2,18,1,7,24,44,1,1,3,1,4,3
334,2,22010.0,51,11,2,9,3,0,8,2,8,19,32,1,1,3,0,5,1
